data	language	question	Translated question	category	answer	original_page	answer_page	answer in different_wiki	answer in non-Wikipedia article on the web	answer in infobox/table
tydi	japanese	シュトゥットガルト・バレエ団は日本で公演したことがありますか？	Has the Stuttgart Ballet ever performed in Japan?	1	はい	https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%BC%E3%82%B6%E3%83%B3%E3%83%8C%E5%9B%BD%E9%9A%9B%E3%83%90%E3%83%AC%E3%82%A8%E3%82%B3%E3%83%B3%E3%82%AF%E3%83%BC%E3%83%AB	https://www.nbs.or.jp/stages/2018/stuttgart/index.html		1	
tydi	japanese	マーレーコッドは日本に輸入されている？	Are Murray cods imported into Japan?	1	はい	https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AA%E3%82%A2%E3%81%AE%E5%8B%95%E7%89%A9%E7%9B%B8	https://www.env.go.jp/nature/intro/4document/data/sentei/fin04/mat02_3.pdf		1	
tydi	japanese	リグレー・フィールドの面積は？	How large is Wrigley Field?	1	11,638㎡	https://ja.wikipedia.org/wiki/%E3%83%AA%E3%82%B0%E3%83%AC%E3%83%BC%E3%83%BB%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%E3%83%89	http://yakyujo.com/ml13/		1	
tydi	japanese	伝統的日本画に遠近法の手法はある？	Is there a method of perspective in traditional Japanese painting?	1	はい	https://ja.wikipedia.org/wiki/%E6%9C%A6%E6%9C%A7%E4%BD%93	https://www.jstage.jst.go.jp/article/jssd/48/0/48_132/_pdf/-char/ja		1	
tydi	japanese	北川 民次が初めてアメリカ大陸に渡ったのは何歳の頃？	How old was Tamitji Kitagawa when he first traveled to the Americas?	1	20歳	https://ja.wikipedia.org/wiki/%E5%8F%B8%E9%A6%AC%E9%81%BC%E5%A4%AA%E9%83%8E	http://unmanned.jp/wp-content/uploads/2019/03/works%20(=)%20documents_2_B.pdf		1	
tydi	japanese	喫煙と水球のパフォーマンスに関連性はある？	Is there a link between smoking and water polo performance?	1	はい	https://ja.wikipedia.org/wiki/%E9%98%BF%E9%83%A8%E4%B8%80%E4%BA%8C%E4%B8%89	https://melos.media/wellness/40082/		1	
tydi	japanese	日本で平均的に車が買い替えられる頻度は？	How often do people buy a new car on average in Japan?	1	7.0年	https://ja.wikipedia.org/wiki/%E3%83%A2%E3%83%BC%E3%82%BF%E3%83%AA%E3%82%BC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3	https://www.insweb.co.jp/car/kisochishiki/kiso/kuruma-kaikae.html		1	
tydi	japanese	星野源は結婚していますか？	Is Gen Hoshino married?	1	いいえ	https://ja.wikipedia.org/wiki/%E6%98%9F%E9%87%8E%E6%BA%90	https://infinityryoko.com/1160.html		1	
tydi	japanese	ヘリコプターの燃料はなんですか？	What is the fuel for the helicopter?	1	ケロシン系	https://ja.wikipedia.org/wiki/%E3%83%98%E3%83%AA%E3%82%B3%E3%83%97%E3%82%BF%E3%83%BC	http://www.skyone.jp/q-a-07.htm	1		
tydi	japanese	『こえたま』の主人公の職業は何	What is the occupation of the main character of "Koetama"?	1	女子高生	https://ja.wikipedia.org/wiki/%E3%81%8B%E3%81%BF%E3%81%95%E3%81%BE%E3%81%BF%E3%81%AA%E3%82%89%E3%81%84_%E3%83%92%E3%83%9F%E3%83%84%E3%81%AE%E3%81%93%E3%81%93%E3%81%9F%E3%81%BE%E3%81%AE%E7%99%BB%E5%A0%B4%E4%BA%BA%E7%89%A9%E4%B8%80%E8%A6%A7	https://ja.wikipedia.org/wiki/%E3%81%93%E3%81%88%E3%81%9F%E3%81%BE	1		
