data	language	question	Translated question	category	answer	original_page	answer_page	answer in different_wiki	answer in non-Wikipedia article on the web	answer in infobox/table				
tydi	korean	독일에서 가장 큰 대학은 어디인가?	What's the largest university in Germany?	1		https://ko.wikipedia.org/wiki/%EC%84%B8%EC%A2%85%EB%8C%80%ED%95%99%EA%B5%90		0	0	0				
tydi	korean	캐나다의 1대 대통령은 누구인가요?	Who is the first president of Canada?	1	존 맥도널드	https://ko.wikipedia.org/wiki/%EC%BA%90%EB%82%98%EB%8B%A4%EC%9D%98%20%EC%B4%9D%EB%A6%AC		0	0	1				
tydi	korean	2018년 미국에서 가장 많이 판매된 자동차는 무엇인가	Which car sold the most in US in 2018?	1		https://ko.wikipedia.org/wiki/%EC%A0%84%EA%B8%B0%EC%9E%90%EB%8F%99%EC%B0%A8			1					
tydi	korean	2019년 5월 기준, 미국 프로 야구에서 가장 높은 주급을 받는 선수는 누구인가?	Which player in MLB league receive the highest salary in May 2019?	1	Mike Trout	https://ko.wikipedia.org/wiki/%EC%98%A4%ED%83%80%EB%8B%88%20%EC%87%BC%ED%97%A4%EC%9D%B4	https://www.forbes.com/sites/kurtbadenhausen/2019/04/01/baseballs-highest-paid-players-2019-mike-trout-leads-with-39-million/#4d2fdd186cc7		1					
tydi	korean	2019년 세상에서 가장 많이 쓰이는 메신저는 무엇인가?	What's the most popular messaging app in the world in 2019?	1	WhatsApp	https://ko.wikipedia.org/wiki/%EC%86%8C%EC%85%9C%20%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC%20%EC%84%9C%EB%B9%84%EC%8A%A4			1					
tydi	korean	2019년 한국에는 몇 개의 자동차 회사가 있는가?	In 2019, how many automobile companies exist in South Korea?	1	5	https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%EC%9D%98%20%EA%B3%A0%EC%86%8D%EB%8F%84%EB%A1%9C			1					
tydi	korean	르네 마그리트의 마지막 작품은 무엇인가?	What's the last work of Rene Magritte?	1	Le dernier cri	https://ko.wikipedia.org/wiki/%EC%9D%B4%EB%AF%B8%EC%A7%80%EC%9D%98%20%EB%B0%B0%EB%B0%98			1					
tydi	korean	에픽 게임즈의 2018년 주가는 얼마인가?	What's the price of share for Epic Games in 2018?	1	answer is visual	https://ko.wikipedia.org/wiki/%EC%8A%A4%EB%A7%88%EC%9D%BC%EA%B2%8C%EC%9D%B4%ED%8A%B8			1					
tydi	korean	제주도에서 서울까지의 거리는 얼마나 되나요?	What's the distance between Jeju and Seoul?	1		https://ko.wikipedia.org/wiki/%EC%A0%9C%EC%A3%BC%EB%8F%84			1					
tydi	korean	캐나다에서 가장 인구밀도가 낮은 도시는 어디인가?	Which city in Canada is the least dense?	1	Nunavet	https://ko.wikipedia.org/wiki/%EC%BA%90%EB%82%98%EB%8B%A4			1					
tydi	korean	캘리포니아주에는 몇개의 초등학교가 있나요?	How many elementary school exist in California?	1	362	https://ko.wikipedia.org/wiki/%EC%83%8C%EB%94%94%EC%97%90%EA%B3%A0			1					
tydi	korean	포켓몬스터에서 가장 큰 포켓몬은 무엇인가?	What's the largest pokemon in pokemonster?	1	Onix	https://ko.wikipedia.org/wiki/%ED%95%98%EC%95%BC%EC%8B%9C%EB%B0%94%EB%9D%BC%20%EB%A9%94%EA%B5%AC%EB%AF%B8	https://levelskip.com/rpgs/Pokemon-Top-10-Largest-Pokemon		1					
tydi	korean	2016년 독일 총리는 누구인가요?	Who is the prime minister of Germany in 2016?	1	앙겔라 메르켈	https://ko.wikipedia.org/wiki/%EB%8F%85%EC%9D%BC%EC%9D%98%20%EC%B4%9D%EB%A6%AC%20%EB%AA%A9%EB%A1%9D		1						45
tydi	korean	2018년 미국에서 가장 흥행한 영화는 무엇인가?	Which movie was the most popular in US in 2018?	1	Black Panther	https://ko.wikipedia.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%EC%9D%98%20%EC%98%81%ED%99%94%20%ED%9D%A5%ED%96%89%20%EA%B8%B0%EB%A1%9D		0						
