data	language	question	Translated question	category	answer	original_page	answer_page	answer in different_wiki	answer in non-Wikipedia article on the web	answer in infobox/table
tydi	telugu	గుర్రం యొక్క సగటు వేగం ఎంత?	What is the average speed of a horse?	1	55 mph	https://te.wikipedia.org/wiki/%E0%B0%97%E0%B1%81%E0%B0%B0%E0%B1%8D%E0%B0%B0%E0%B0%AE%E0%B1%81	https://www.google.com/search?q=What+is+the+average+speed+of+a+horse%3F&oq=What+is+the+average+speed+of+a+horse%3F&aqs=chrome.0.69i59j0j0i22i30l6.608j1j7&sourceid=chrome&ie=UTF-8	0	1	
tydi	telugu	బొడ్డుచెర్ల గ్రామంలో ఎక్కువగా పండించే పంట ఏది?	What is the highly cultivated crop in Bodducherla village?	1		https://te.wikipedia.org/wiki/%E0%B0%AC%E0%B1%8A%E0%B0%A1%E0%B0%BF%E0%B0%9A%E0%B0%B0%E0%B1%8D%E0%B0%B2		0		
tydi	telugu	పొట్టి శ్రీరాములు మొదటి సరి గాంధీ ను ఎక్కడ కలిసాడు?	Where did Potti Sriramulu meet Gandhi for the first time?	1		https://te.wikipedia.org/wiki/%E0%B0%97%E0%B1%8D%E0%B0%B0%E0%B0%BE%E0%B0%AE%E0%B0%BE%E0%B0%B2%20%E0%B0%B5%E0%B1%80%E0%B0%A7%E0%B0%BF%E0%B0%A6%E0%B1%80%E0%B0%AA%E0%B0%BE%E0%B0%B2%E0%B1%81%20-%20%E0%B0%9A%E0%B0%BE%E0%B0%B0%E0%B0%BF%20%E0%B0%AB%E0%B0%BE%E0%B0%B0%E0%B1%8D%E0%B0%AE%E0%B1%81%E0%B0%B2%E0%B0%BE		0		
tydi	telugu	లోహాలు మొత్తం ఎన్ని రకాలు?	How many types of metals are available?	1	5	https://te.wikipedia.org/wiki/%E0%B0%AC%E0%B0%82%E0%B0%97%E0%B0%BE%E0%B0%B0%E0%B0%82	https://www.google.com/search?q=How+many+types+of+metals+are+available%3F&oq=How+many+types+of+metals+are+available%3F&aqs=chrome.0.69i59.173j0j7&sourceid=chrome&ie=UTF-8	0	1	
tydi	telugu	1991 భారత జనగణన గణాంకాల ప్రకారం మెదక్ జిల్లా జనాభా ఎంత ?	According to the census of 1991, what is the population of Medak district?	1		https://te.wikipedia.org/wiki/%E0%B0%87%E0%B0%B2%E0%B1%8D%E0%B0%B2%E0%B0%82%E0%B0%A6%E0%B1%81		0		
tydi	telugu	ఒనురు గ్రామంలో ప్రధాన పంట ఏంటి?	What is the main agricultural crop in Onuru village?	1		https://te.wikipedia.org/wiki/%E0%B0%A6%E0%B0%BF%E0%B0%AC%E0%B0%B0%E0%B0%BF%E0%B0%97%E0%B0%B0%E0%B1%81%E0%B0%B5%E0%B1%81		0		
tydi	telugu	గౌరంపేట ఎస్.టి.డి కోడ్ ఎంత?	What is the STD code of Gaurampeta?	1		https://te.wikipedia.org/wiki/%E0%B0%8E%E0%B0%B8%E0%B1%8D.%20%E0%B0%9F%E0%B0%BF.%20%E0%B0%9C%E0%B1%8D%E0%B0%9E%E0%B0%BE%E0%B0%A8%E0%B0%BE%E0%B0%A8%E0%B0%82%E0%B0%A6%20%E0%B0%95%E0%B0%B5%E0%B0%BF		0		
tydi	telugu	ద్రాక్ష పళ్ళలో ఎక్కువగా ఉండే విటమిన్ ఏది?	What is the main vitamin to be found in grapes?	1	Vitamin C	https://te.wikipedia.org/wiki/%E0%B0%95%E0%B0%BF%E0%B0%B5%E0%B1%80%20%E0%B0%AA%E0%B0%82%E0%B0%A1%E0%B1%81	https://te.wikipedia.org/wiki/%E0%B0%A6%E0%B1%8D%E0%B0%B0%E0%B0%BE%E0%B0%95%E0%B1%8D%E0%B0%B7	1		
tydi	telugu	వైఎస్ఆర్ జీవిత చరిత్ర పై నిర్మించిన మొదటి తెలుగు చిత్రం ఏది?	What is name of the YSR's first biopic in Telugu?	1	Yatra	https://te.wikipedia.org/wiki/%E0%B0%AC%E0%B1%8A%E0%B0%AE%E0%B1%8D%E0%B0%AE%E0%B0%BF%E0%B0%B0%E0%B1%86%E0%B0%A1%E0%B1%8D%E0%B0%A1%E0%B0%BF%20%E0%B0%A8%E0%B0%B0%E0%B0%B8%E0%B0%BF%E0%B0%82%E0%B0%B9%E0%B0%BE%E0%B0%B0%E0%B1%86%E0%B0%A1%E0%B1%8D%E0%B0%A1%E0%B0%BF	https://en.wikipedia.org/wiki/Yatra_(2019_film)	1		
tydi	telugu	పుల్లలమామిడి గ్రామంలో ప్రధాన పంట ఏంటి?	What is the main agricultural crop in Pullalamaamidi village?	1		https://te.wikipedia.org/wiki/%E0%B0%9A%E0%B0%BF%E0%B0%82%E0%B0%A4%E0%B0%AA%E0%B0%B2%E0%B1%8D%E0%B0%B2%E0%B0%BF%20%E0%B0%AE%E0%B0%82%E0%B0%A1%E0%B0%B2%E0%B0%82		0		
tydi	telugu	తెనాలి పట్టణంలో 2002 నాటికి అతిపెద్ద కట్టడం ఏది?	As of 2002, what is the biggest construction in Tenali town?	1		https://te.wikipedia.org/wiki/%E0%B0%A4%E0%B1%86%E0%B0%A8%E0%B0%BE%E0%B0%B2%E0%B0%BF		0		
tydi	telugu	సూర్యకాంతి ఎక్కడి నుంచి వస్తుంది?	What is the origin point for sunlight?	5		https://te.wikipedia.org/wiki/%E0%B0%9B%E0%B0%BE%E0%B0%AF%E0%B0%BE%20%E0%B0%B8%E0%B1%8B%E0%B0%AE%E0%B1%87%E0%B0%B6%E0%B1%8D%E0%B0%B5%E0%B0%B0%E0%B0%BE%E0%B0%B2%E0%B0%AF%E0%B0%82		0		
tydi	telugu	హు జింటావ్ తల్లి పేరేమిటి ?	What is the name of Hu Jintao's mother?	1		https://te.wikipedia.org/wiki/%E0%B0%B9%E0%B1%81%20%E0%B0%9C%E0%B0%BF%E0%B0%82%E0%B0%9F%E0%B0%BE%E0%B0%B5%E0%B1%8D		0		
tydi	telugu	అల్లవరం మండలంలో ఉన్న అతిపెద్ద గ్రామం ఏది?	Which is the biggest village in Allavaram mandal?	1	Komaragiripatnam	https://te.wikipedia.org/wiki/%E0%B0%85%E0%B0%B2%E0%B1%8D%E0%B0%B2%E0%B0%B5%E0%B0%B0%E0%B0%82	http://www.onefivenine.com/india/villag/East-Godavari/Allavaram#:~:text=Allavaram%20consist%20of%2082%20Villages,Komaragiripatnam%20is%20the%20biggest%20Village%20.	0	1	
tydi	telugu	2016 నాటికి బేల గ్రామ సర్పంచ్ ఎవరు?	Who is the sarpanch of Bela village in 2016?	1	Maske Tejrao	https://te.wikipedia.org/wiki/%E0%B0%A6%E0%B1%86%E0%B0%B9%E0%B1%86%E0%B0%97%E0%B0%BE%E0%B0%B5%E0%B1%8D%20%28%E0%B0%AC%E0%B1%87%E0%B0%B2%29	https://tsec.gov.in/pdf/Sarpanch/2016/fourth_ordinary_Sarpanch,_2014_541.pdf	0	1	
tydi	telugu	నా పేరు మీనాక్షి ధారావాహిక యొక్క దర్శకుడు ఎవరు?	Who is the director of Naa Peru Meenakshi serial?	1	Director Jai Kumar	https://te.wikipedia.org/wiki/%E0%B0%85%E0%B0%A6%E0%B1%8D%E0%B0%B5%E0%B1%88%E0%B0%A4%E0%B0%82	https://www.google.com/search?q=naa+peru+meenakshi+director&oq=naa+peru+meenakshi+direcot&aqs=chrome.1.69i57j0i13l2j0i22i30.7671j1j4&sourceid=chrome&ie=UTF-8	0	1	
tydi	telugu	ఎర్రమరాజుపల్లె గ్రామ పిన్ కోడ్ ఎంత ?	What is the pin code of Erramarajupalle village?	1	517569	https://te.wikipedia.org/wiki/%E0%B0%8E%E0%B0%B0%E0%B1%8D%E0%B0%B0%E0%B0%AE%E0%B0%B0%E0%B0%BE%E0%B0%9C%E0%B1%81%E0%B0%AA%E0%B0%B2%E0%B1%8D%E0%B0%B2%E0%B1%86	https://te.wikipedia.org/wiki/%E0%B0%8E%E0%B0%B0%E0%B1%8D%E0%B0%B0%E0%B0%AE%E0%B0%B0%E0%B0%BE%E0%B0%9C%E0%B1%81%E0%B0%AA%E0%B0%B2%E0%B1%8D%E0%B0%B2%E0%B1%86	0		1
tydi	telugu	వక్కలంక గ్రామ పిన్ కోడ్ ఏంటి?	What is the pin code of Vakkalanka village?	2	533241	https://te.wikipedia.org/wiki/%E0%B0%B5%E0%B0%95%E0%B1%8D%E0%B0%95%E0%B0%B2%E0%B0%82%E0%B0%95	https://te.wikipedia.org/wiki/%E0%B0%B5%E0%B0%95%E0%B1%8D%E0%B0%95%E0%B0%B2%E0%B0%82%E0%B0%95_(%E0%B0%97%E0%B1%8D%E0%B0%B0%E0%B0%BE%E0%B0%AE%E0%B0%82)	1		
