data	language	question	Translated question	category	answer	original_page	answer_page	answer in different_wiki	answer in non-Wikipedia article on the web	answer in infobox/table
tydi	russian	В каком году кандидат искусствоведения А. И. Струкова получила высшее образование?	In what year was the candidate of art AI Strukov graduated?	1	1999	https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%20%D0%B2%D1%8B%D0%BF%D1%83%D1%81%D0%BA%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2%20%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%20%D0%BB%D0%B8%D1%86%D0%B5%D1%8F	https://www.ais-aica.ru/2011-01-23-07-11-18/2011-02-06-17-34-22/-2/2529-2011-11-17-09-55-35.html		1	
tydi	russian	В скольких битвах участвовал Джеймс Юэлл Браун «Джеб» Стюарт?	How many battles was James Ewell Brown "Jeb" Stuart?	1	At least 7	https://ru.wikipedia.org/wiki/%D0%AE%D1%8D%D0%BB%D0%BB%2C%20%D0%A0%D0%B8%D1%87%D0%B0%D1%80%D0%B4	https://www.google.com/search?q=How+many+battles+was+James+Ewell+Brown+%22Jeb%22+Stuart%3F&rlz=1CAVNXA_enUS798US798&oq=How+many+battles+was+James+Ewell+Brown+%22Jeb%22+Stuart%3F&aqs=chrome..69i57j33.178j0j4&sourceid=chrome&ie=UTF-8		1	
tydi	russian	Давала ли группа Slayer концерт в России?	Has Slayer performed a concert in Russia?	1	YES	https://ru.wikipedia.org/wiki/Sepultura	http://houserock.ru/novosti_rok_muzyki/2629-gruppa-slayer-dala-koncert-v-rossii.html		1	
tydi	russian	Кто был первым чемпионом мира по шахматам до Эмануэля Ласкера?	Who was the first world chess champion Emanuel Lasker up?	1	Вильгельм Стейниц	https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D1%81%D0%BA%D0%B5%D1%80%2C%20%D0%AD%D0%BC%D0%B0%D0%BD%D1%83%D1%8D%D0%BB%D1%8C	https://ria.ru/20100327/216727282.html		1	
tydi	russian	Кто основал компанию Minori?	Who founded the Minori company?	1	Ana Alexandrovna	https://ru.wikipedia.org/wiki/Aoni%20Production	https://meantsimply.com/blogs/simple-matters/friends-of-meant-ana-alexandrovna-of-minori		1	
tydi	russian	Сколько цветов может менять хамелеон?	How many colors can change a chameleon?	1	65000	https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%BC%D0%B5%D0%BB%D0%B5%D0%BE%D0%BD%D1%8B	https://otvet.mail.ru/question/16787195		1	
tydi	russian	Сколько шерсти в среднем получают с одной овцы в год?	What is the average annual wool yield per sheep?	1	5 кг	https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC%D0%B0%D1%88%D0%BD%D1%8F%D1%8F%20%D0%BB%D0%BE%D1%88%D0%B0%D0%B4%D1%8C	http://mashinka-dlya-ovets.com.ua/razvedenie-ovets-kak-biznes.html		1	
tydi	russian	Как называлась денежная единица Госуда́рства Росси́йского?	What was the name of the monetary unit of the Russian state?	1	сибирский рубль	https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BD%D0%BE%D0%BC%D0%B8%D0%BD%D0%B0%D1%86%D0%B8%D1%8F%20%28%D1%8D%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D0%BA%D0%B0%29	https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B5_%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%BE_(1918%E2%80%941920)	1		
tydi	russian	Как называлась первая норвежская напечатанная книга в Норвегии?	What was the name of the first book printed in Norwegian in Norway?	1	Al"lmanach paa det aar efter Jesu Christi Fødsel 1644	https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%80%D0%B2%D0%B5%D0%B6%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BB%D0%B8%D1%82%D0%B5%D1%80%D0%B0%D1%82%D1%83%D1%80%D0%B0	https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%80%D0%B2%D0%B5%D0%B6%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BB%D0%B8%D1%82%D0%B5%D1%80%D0%B0%D1%82%D1%83%D1%80%D0%B0			1
tydi	russian	Когда был введен термин «стиляги»?	When introduced the term "dudes"?	1	к концу 1940-х годов	https://ru.wikipedia.org/wiki/%D0%A4%D0%B0%D1%80%D1%86%D0%BE%D0%B2%D0%BA%D0%B0		1		
