data	language	question	Translated question	category	answer	original_page	answer_page	answer in different_wiki	answer in non-Wikipedia article on the web	answer in infobox/table
tydi	bengali	১৯৮১ সালে বাংলাদেশের সেনাবাহিনীর সেনাপ্রধান কে ছিলেন ?	Who was the Army Chief of Bangladesh in 1981?	2	হুসেইন মুহাম্মদ এরশাদ	https://bn.wikipedia.org/wiki/%E0%A6%B9%E0%A7%81%E0%A6%B8%E0%A7%87%E0%A6%87%E0%A6%A8%20%E0%A6%AE%E0%A7%81%E0%A6%B9%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AE%E0%A6%A6%20%E0%A6%8F%E0%A6%B0%E0%A6%B6%E0%A6%BE%E0%A6%A6		1		1
tydi	bengali	মার্কিন অভিনেত্রী ব্রি লারসনের বাবার নাম কী ?	Who is the father of American actress B Larson?	1	সিলভানিয়ান দেসলনিয়ার	https://bn.wikipedia.org/wiki/%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AA%E0%A7%8D%E0%A6%9F%E0%A7%87%E0%A6%A8%20%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%AD%E0%A7%87%E0%A6%B2%20%28%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0%29	https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A7%8D%E0%A6%B0%E0%A6%BF_%E0%A6%B2%E0%A6%BE%E0%A6%B0%E0%A6%B8%E0%A6%A8	1		
tydi	bengali	বাঙালি হাংরিয়ালিজম যুগের লেখক মলয় রায়চৌধুরীর প্রথম প্রকাশিত উপন্যাসের নাম কী ?	What is the name of the first published novel of Malay Roy Chowdhury, the author during the Bengal's Hungryalist era?	1	ডুবজলে যেটুকু প্রশ্বাস	https://bn.wikipedia.org/wiki/%E0%A6%AE%E0%A6%B2%E0%A6%AF%E0%A6%BC%20%E0%A6%B0%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%9A%E0%A7%8C%E0%A6%A7%E0%A7%81%E0%A6%B0%E0%A7%80	https://bn.wikipedia.org/wiki/%E0%A6%AE%E0%A6%B2%E0%A6%AF%E0%A6%BC_%E0%A6%B0%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%9A%E0%A7%8C%E0%A6%A7%E0%A7%81%E0%A6%B0%E0%A7%80%E0%A6%B0_%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A7%8D%E0%A6%A5%E0%A6%A4%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%95%E0%A6%BE	1		1
tydi	bengali	পূর্ব মেদিনীপুর জেলার মোট আয়তন কত ?	What is the total area of ​​East Midnapore district?	2	৪,৭৩৬ বর্গকিমি (১,৮২৯ বর্গমাইল)	https://bn.wikipedia.org/wiki/%E0%A6%AA%E0%A7%82%E0%A6%B0%E0%A7%8D%E0%A6%AC%20%E0%A6%AE%E0%A7%87%E0%A6%A6%E0%A6%BF%E0%A6%A8%E0%A7%80%E0%A6%AA%E0%A7%81%E0%A6%B0%20%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A6%BE		0		
tydi	bengali	নেপালের দীর্ঘতম নদী কোনটি ?	Which is the longest river in Nepal?	1	কর্ণালী নদী	https://bn.wikipedia.org/wiki/%E0%A6%B0%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%A1%E0%A6%BE%E0%A6%95%20%E0%A6%A8%E0%A6%A6%E0%A7%80	https://bn.wikipedia.org/wiki/%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%A3%E0%A6%BE%E0%A6%B2%E0%A7%80_%E0%A6%A8%E0%A6%A6%E0%A7%80	1		
tydi	bengali	বাংলা বুলবুল কোন পর্বের পাখি ?	Which family does the Pycnonotidae bird belong to?	5		https://bn.wikipedia.org/wiki/%E0%A6%9A%E0%A6%9E%E0%A7%8D%E0%A6%9A%E0%A6%B2%20%E0%A6%9A%E0%A7%8C%E0%A6%A7%E0%A7%81%E0%A6%B0%E0%A7%80		0		
tydi	bengali	স্যাটেলাইট বেতার প্রযুক্তি কোথায় প্রথম তৈরী হয় ?	Where was the first satellite radio technology developed?	1	মার্কিন যুক্তরাষ্ট্র	https://bn.wikipedia.org/wiki/%E0%A6%95%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%AE%20%E0%A6%89%E0%A6%AA%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%B9	https://bn.wikipedia.org/wiki/%E0%A6%B8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F%E0%A7%87%E0%A6%B2%E0%A6%BE%E0%A6%87%E0%A6%9F_%E0%A6%AC%E0%A7%87%E0%A6%A4%E0%A6%BE%E0%A6%B0	1		
tydi	bengali	বাবর প্রথম কত সালে ভারতবর্ষে আসেন ?	In which year did Babur first come to India?	5		https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BE%E0%A6%AC%E0%A6%B0		0		
tydi	bengali	দার্শনিক বারুখ স্পিনোজা কোন দেশের নাগরিক ছিলেন ?	The philosopher Baruch Spinoza was a citizen of which country?	6	নেদারল্যান্ডস 	https://bn.wikipedia.org/wiki/%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A7%87%E0%A6%9F%E0%A7%8B	https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A7%81%E0%A6%96_%E0%A6%B8%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%A8%E0%A7%8B%E0%A6%9C%E0%A6%BE	0		
tydi	bengali	২০০৮ সালে মুক্তিপ্রাপ্ত বডি অফ লাইজ চলচ্চিত্রটি কোন সংস্থা প্রযোজনা করে ?	Which company produced the 2008 film Body of Lies?	2	স্কট ফ্রি প্রডাকশনস or ডি লাইন পিকচার্স	https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A6%A1%E0%A6%BF%20%E0%A6%85%E0%A6%AB%20%E0%A6%B2%E0%A6%BE%E0%A6%87%E0%A6%9C%20%28%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0%29	https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A6%A1%E0%A6%BF%20%E0%A6%85%E0%A6%AB%20%E0%A6%B2%E0%A6%BE%E0%A6%87%E0%A6%9C%20%28%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0%29	0		1
